window,shots,total_xG,mean_xG,median_xG,std_xG,shots_per_game,xG_per_game,window_minutes,shots_per_game_per_window_minute,xG_per_game_per_window_minute,n_games,season,window_label,midpoint_s,idx_shots_per_game_per_window_minute,idx_mean_xG,idx_xG_per_game_per_window_minute
3,804,57.90444495,0.07202045391791044,0.03843225,0.10054396724030487,1.3604060913705585,0.09797706421319796,3.5,0.3886874546773024,0.02799344691805656,591,2016-17,15–18:30 min,1005.0,1.146278870829769,1.1814587418923292,1.3542811925882987
0,1222,74.4672442,0.06093882504091653,0.03319185,0.08569446647060029,1.9677938808373592,0.11991504702093397,5.0,0.3935587761674718,0.023983009404186795,621,2017-18,0–5 min,150.0,1.0,1.0,1.0
1,1309,74.52405741,0.05693205302521008,0.0322343,0.07832787071291958,2.107890499194847,0.12000653367149758,5.0,0.42157809983896943,0.024001306734299517,621,2017-18,5–10 min,450.0,1.0711947626841245,0.934249273545787,1.000762928863695
2,1269,77.39971424,0.06099268261623325,0.034468,0.08489392935933236,2.0434782608695654,0.12463722099838968,5.0,0.40869565217391307,0.024927444199677937,621,2017-18,10–15 min,750.0,1.0384615384615385,1.0008837974030604,1.039379328072409
3,905,69.534404,0.07683359558011049,0.0439115,0.10767832652559285,1.4573268921095008,0.1119716650563607,3.5,0.41637911203128597,0.031991904301817344,621,2017-18,15–18:30 min,1005.0,1.0579845686228666,1.2608315885401735,1.333940364307759
0,1149,71.8084594,0.06249648337684944,0.0315302,0.08857527392899407,1.8354632587859425,0.11470999904153355,5.0,0.3670926517571885,0.02294199980830671,626,2018-19,0–5 min,150.0,1.0,1.0,1.0
1,1268,81.45556231,0.0642394024526814,0.032080750000000005,0.08504062371157267,2.02555910543131,0.1301207065654952,5.0,0.405111821086262,0.02602414131309904,626,2018-19,5–10 min,450.0,1.103568320278503,1.027888274374132,1.1343449363850298
2,1206,77.85988549,0.06456043572968491,0.0330793,0.08874619605722897,1.926517571884984,0.12437681388178913,5.0,0.38530351437699684,0.024875362776357827,626,2018-19,10–15 min,750.0,1.0496083550913837,1.0330250958344325,1.0842717716068977
3,976,77.19159382,0.07908974776639344,0.0451313,0.10401303759047703,1.5591054313099042,0.12330925530351437,3.5,0.4454586946599726,0.03523121580100411,626,2018-19,15–18:30 min,1005.0,1.2134775581250776,1.2655071692512325,1.535664549532765
0,1184,74.69119239,0.06308377735641892,0.030055199999999997,0.09232111106351117,2.091872791519435,0.13196323743816255,5.0,0.418374558303887,0.02639264748763251,566,2019-20,0–5 min,150.0,1.0,1.0,1.0
1,1083,61.55124689,0.05683402298245614,0.031343,0.07526143523289013,1.9134275618374559,0.10874778602473499,5.0,0.38268551236749115,0.021749557204947,566,2019-20,5–10 min,450.0,0.9146959459459458,0.9009292937762414,0.8240763726010722
2,964,58.33298018,0.06051139022821577,0.02984235,0.09157045828276161,1.7031802120141342,0.10306180243816254,5.0,0.34063604240282686,0.020612360487632507,566,2019-20,10–15 min,750.0,0.814189189189189,0.9592226839291925,0.780988739280187
3,748,54.7957003,0.07325628382352942,0.03955965,0.1039097828347323,1.3215547703180213,0.09681219134275619,3.5,0.37758707723372037,0.02766062609793034,566,2019-20,15–18:30 min,1005.0,0.9025096525096524,1.1612539212678492,1.048042872958918
0,780,41.85243338,0.05365696587179487,0.023688,0.07433366487279773,1.7333333333333334,0.09300540751111111,5.0,0.3466666666666667,0.01860108150222222,450,2020-21,0–5 min,150.0,1.0,1.0,1.0
1,845,52.24098683,0.061823653053254435,0.0313623,0.0849608896728684,1.8777777777777778,0.11609108184444444,5.0,0.37555555555555553,0.023218216368888888,450,2020-21,5–10 min,450.0,1.0833333333333333,1.1522018073286628,1.2482186246060516
2,829,50.10410731,0.060439212677925215,0.0376898,0.06857879313557641,1.8422222222222222,0.1113424606888889,5.0,0.36844444444444446,0.02226849213777778,450,2020-21,10–15 min,750.0,1.0628205128205128,1.1264001177840635,1.1971611508243445
3,597,44.36985979,0.07432137318257956,0.0436514,0.09889511581721318,1.3266666666666667,0.09859968842222222,3.5,0.379047619047619,0.028171339549206347,450,2020-21,15–18:30 min,1005.0,1.0934065934065933,1.3851206823762479,1.5145000867740295
0,1249,79.82920853,0.06391449842273819,0.03156,0.0946953137485931,1.957680250783699,0.12512415130094046,5.0,0.3915360501567398,0.02502483026018809,638,2021-22,0–5 min,150.0,1.0,1.0,1.0
1,1126,72.03472871,0.06397400418294849,0.0339321,0.08963255213226018,1.7648902821316614,0.11290709829153604,5.0,0.3529780564263323,0.02258141965830721,638,2021-22,5–10 min,450.0,0.9015212169735789,1.0009310213125153,0.9023605524402659
2,1143,70.79680147,0.06193945885389327,0.0334081,0.08737816344244073,1.79153605015674,0.11096677346394986,5.0,0.35830721003134797,0.02219335469278997,638,2021-22,10–15 min,750.0,0.9151321056845476,0.9690987238015736,0.8868533557287417
3,888,79.18202902,0.0891689515990991,0.0512845,0.11521459432364374,1.3918495297805642,0.12410976335423198,3.5,0.39767129422301833,0.03545993238692342,638,2021-22,15–18:30 min,1005.0,1.0156696786000228,1.3951287078766528,1.4169899263347452
0,1319,89.44353732,0.0678116279909022,0.0381545,0.08408189954228085,1.9834586466165414,0.13450155987969925,5.0,0.39669172932330826,0.02690031197593985,665,2022-23,0–5 min,150.0,1.0,1.0,1.0
1,1314,90.9013128,0.0691790812785388,0.0370983,0.0919793406524189,1.97593984962406,0.13669370345864662,5.0,0.39518796992481203,0.027338740691729323,665,2022-23,5–10 min,450.0,0.9962092494313874,1.0201654690817932,1.0162982762497927
2,1192,84.17099094,0.0706132474328859,0.03557995,0.09877139681248773,1.7924812030075188,0.1265729187067669,5.0,0.35849624060150376,0.02531458374135338,665,2022-23,10–15 min,750.0,0.9037149355572404,1.0413147350239043,0.9410516786569325
3,857,73.63544897,0.08592234418903151,0.047455,0.11051034404725293,1.2887218045112783,0.11072999845112781,3.5,0.3682062298603652,0.031637142414607945,665,2022-23,15–18:30 min,1005.0,0.9281923535145674,1.2670739036166347,1.1760883086748142
0,1306,82.82622054,0.06341977070444103,0.0301711,0.0851681829850117,1.946348733233979,0.12343699037257823,5.0,0.3892697466467958,0.024687398074515646,671,2023-24,0–5 min,150.0,1.0,1.0,1.0
1,1387,94.79751895,0.06834716578947368,0.0319925,0.09889722834540246,2.067064083457526,0.141277971609538,5.0,0.4134128166915052,0.0282555943219076,671,2023-24,5–10 min,450.0,1.062021439509954,1.0776949369305684,1.1445351282715912
2,1377,87.97610345,0.06388969023238925,0.0297939,0.09479752093667511,2.052160953800298,0.13111192764530552,5.0,0.4104321907600596,0.026222385529061105,671,2023-24,10–15 min,750.0,1.054364471669219,1.007409669299156,1.0621769637250673
3,1090,108.441163,0.09948730550458716,0.047888150000000004,0.13122954210433277,1.624441132637854,0.16161127123695976,3.5,0.46412603789652973,0.04617464892484564,671,2023-24,15–18:30 min,1005.0,1.192299278057318,1.5687112141769453,1.8703732481435902
